payload.EnqueuedTime,payload.BuildingId,payload.EquipmentId,payload.FloorId,payload.SensorId,payload.SensorName,payload.SpaceId,payload.Telemetry.Return air CO2 set point,payload.Telemetry.ReturnAirCO2,payload.Unit,payload.Telemetry.Vibration amplitude-x,payload.Telemetry.Vibration amplitude-y,payload.Telemetry.Vibration amplitude-z,payload.Telemetry.Exhaust air temperature,payload.Telemetry.Fresh air temperature,payload.Telemetry.Mixed air temperature,payload.Telemetry.OccupancyCount,payload.Telemetry.Off coil humidity,payload.Telemetry.Return air humidity,payload.Telemetry.Off coil temperature,payload.Telemetry.Return air temperature,payload.Telemetry.Supply air humidity,payload.Telemetry.Supply air temperature,payload.Telemetry.Supply_Air_Humidity_Setpoint,payload.Telemetry.Supply_Air_Temperature_Setpoint
2022-06-06T20:59:40.1075405Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,38,33,,,59,,23,
2022-06-06T20:59:40.6515963Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,82,,,,,,,,
2022-06-06T20:59:41.1272093Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,2,5,'-1,,,,,,,,,,,,
2022-06-06T20:59:41.1730415Z,1001,280113,179,584884,Gas Sensor,,644,691,ppm,,,,,,,,,,,,,,,
2022-06-06T20:59:41.3887734Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,48,26,,,46,,30,
2022-06-06T20:59:41.9130987Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,17,,,,,,,,
2022-06-06T20:59:42.4251405Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,2,'-6,1,,,,,,,,,,,,
2022-06-06T20:59:42.4558307Z,1001,280113,179,584884,Gas Sensor,,528,688,ppm,,,,,,,,,,,,,,,
2022-06-06T20:59:42.6577623Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,54,59,,,48,,35,
2022-06-06T20:59:43.1778387Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,99,,,,,,,,
2022-06-06T20:59:43.7180997Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,'-3,'-6,3,,,,,,,,,,,,
2022-06-06T20:59:43.7340686Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,36,32,23,,,,28,15,,5,,24
2022-06-06T20:59:43.7646068Z,1001,280113,179,584884,Gas Sensor,,913,521,ppm,,,,,,,,,,,,,,,
2022-06-06T20:59:43.9184378Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,37,36,,,45,,40,
2022-06-06T20:59:44.4463031Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,41,,,,,,,,
2022-06-06T20:59:44.9998669Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,31,21,24,,,,31,14,,14,,27
2022-06-06T20:59:44.9999620Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,3,'-3,'-4,,,,,,,,,,,,
2022-06-06T20:59:45.0469843Z,1001,280113,179,584884,Gas Sensor,,432,829,ppm,,,,,,,,,,,,,,,
2022-06-06T20:59:45.1871446Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,53,66,,,49,,45,
2022-06-06T20:59:45.7103282Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,66,,,,,,,,
2022-06-06T20:59:46.2659404Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,27,21,24,,,,41,13,,3,,24
2022-06-06T20:59:46.2972516Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,2,4,'-2,,,,,,,,,,,,
2022-06-06T20:59:46.3293618Z,1001,280113,179,584884,Gas Sensor,,775,569,ppm,,,,,,,,,,,,,,,
2022-06-06T20:59:46.4694078Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,54,55,,,40,,23,
2022-06-06T20:59:46.9878334Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,16,,,,,,,,
2022-06-06T20:59:47.5432110Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,25,28,23,,,,33,13,,20,,22
2022-06-06T20:59:47.5902813Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,7,0,5,,,,,,,,,,,,
2022-06-06T20:59:47.6206245Z,1001,280113,179,584884,Gas Sensor,,865,980,ppm,,,,,,,,,,,,,,,
2022-06-06T20:59:47.7301745Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,54,30,,,67,,39,
2022-06-06T20:59:48.2510328Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,41,,,,,,,,
2022-06-06T20:59:48.8060819Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,21,10,21,,,,20,22,,16,,25
2022-06-06T20:59:48.8837482Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,1,'-6,'-4,,,,,,,,,,,,
2022-06-06T20:59:48.9140198Z,1001,280113,179,584884,Gas Sensor,,516,618,ppm,,,,,,,,,,,,,,,
2022-06-06T20:59:49.0067151Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,38,20,,,54,,32,
2022-06-06T20:59:49.5117841Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,14,,,,,,,,
2022-06-06T20:59:50.0770540Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,35,35,21,,,,30,10,,8,,25
2022-06-06T20:59:50.1887508Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,4,4,'-5,,,,,,,,,,,,
2022-06-06T20:59:50.2049241Z,1001,280113,179,584884,Gas Sensor,,930,825,ppm,,,,,,,,,,,,,,,
2022-06-06T20:59:50.3128184Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,46,47,,,28,,30,
2022-06-06T20:59:50.7742227Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,83,,,,,,,,
2022-06-06T20:59:51.3482245Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,37,34,24,,,,38,20,,6,,27
2022-06-06T20:59:51.4871161Z,1001,280113,179,584884,Gas Sensor,,447,440,ppm,,,,,,,,,,,,,,,
2022-06-06T20:59:51.4873965Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,6,0,3,,,,,,,,,,,,
2022-06-06T20:59:51.5798440Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,43,51,,,44,,37,
2022-06-06T20:59:52.0374428Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,71,,,,,,,,
2022-06-06T20:59:52.6118204Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,23,36,22,,,,35,21,,5,,22
2022-06-06T20:59:52.7792519Z,1001,280113,179,584884,Gas Sensor,,929,760,ppm,,,,,,,,,,,,,,,
2022-06-06T20:59:52.8397757Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,'-6,'-7,1,,,,,,,,,,,,
2022-06-06T20:59:52.8550372Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,32,37,,,34,,39,
2022-06-06T20:59:53.3020718Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,69,,,,,,,,
2022-06-06T20:59:53.8757221Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,36,13,22,,,,33,18,,5,,24
2022-06-06T20:59:54.0780051Z,1001,280113,179,584884,Gas Sensor,,977,559,ppm,,,,,,,,,,,,,,,
2022-06-06T20:59:54.1253408Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,51,29,,,53,,25,
2022-06-06T20:59:54.1414323Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,'-6,6,'-4,,,,,,,,,,,,
2022-06-06T20:59:54.5741696Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,33,,,,,,,,
2022-06-06T20:59:55.1321262Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,27,31,24,,,,31,17,,14,,25
2022-06-06T20:59:55.3634596Z,1001,280113,179,584884,Gas Sensor,,973,920,ppm,,,,,,,,,,,,,,,
2022-06-06T20:59:55.3949324Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,48,39,,,44,,45,
2022-06-06T20:59:55.4409623Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,6,'-2,4,,,,,,,,,,,,
2022-06-06T20:59:55.8424404Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,69,,,,,,,,
2022-06-06T20:59:56.4150986Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,27,28,24,,,,48,19,,5,,26
2022-06-06T20:59:56.6481538Z,1001,280113,179,584884,Gas Sensor,,862,638,ppm,,,,,,,,,,,,,,,
2022-06-06T20:59:56.6628269Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,32,29,,,31,,41,
2022-06-06T20:59:56.7256188Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,3,0,4,,,,,,,,,,,,
2022-06-06T20:59:57.1123917Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,26,,,,,,,,
2022-06-06T20:59:57.6966901Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,36,31,22,,,,21,16,,16,,22
2022-06-06T20:59:57.9298261Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,39,34,,,26,,30,
2022-06-06T20:59:57.9614808Z,1001,280113,179,584884,Gas Sensor,,884,469,ppm,,,,,,,,,,,,,,,
2022-06-06T20:59:58.0234813Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,5,6,'-4,,,,,,,,,,,,
2022-06-06T20:59:58.3753905Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,18,,,,,,,,
2022-06-06T20:59:58.9715787Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,29,30,21,,,,33,22,,0,,26
2022-06-06T20:59:59.1858398Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,46,45,,,45,,48,
2022-06-06T20:59:59.2481219Z,1001,280113,179,584884,Gas Sensor,,524,758,ppm,,,,,,,,,,,,,,,
2022-06-06T20:59:59.3101067Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,'-7,'-3,3,,,,,,,,,,,,
2022-06-06T20:59:59.6454146Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,12,,,,,,,,
2022-06-06T21:00:00.2261273Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,37,34,20,,,,25,24,,15,,22
2022-06-06T21:00:00.4550247Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,58,31,,,38,,39,
2022-06-06T21:00:00.5307970Z,1001,280113,179,584884,Gas Sensor,,728,682,ppm,,,,,,,,,,,,,,,
2022-06-06T21:00:00.6063629Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,6,'-8,0,,,,,,,,,,,,
2022-06-06T21:00:00.9197147Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,69,,,,,,,,
2022-06-06T21:00:01.5060534Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,24,39,23,,,,33,17,,4,,23
2022-06-06T21:00:01.7208142Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,58,26,,,69,,43,
2022-06-06T21:00:01.8117024Z,1001,280113,179,584884,Gas Sensor,,620,817,ppm,,,,,,,,,,,,,,,
2022-06-06T21:00:01.8876925Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,'-2,1,5,,,,,,,,,,,,
2022-06-06T21:00:02.1796135Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,29,,,,,,,,
2022-06-06T21:00:02.7712202Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,31,32,20,,,,29,22,,4,,24
2022-06-06T21:00:02.9846236Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,31,40,,,38,,35,
2022-06-06T21:00:03.1071064Z,1001,280113,179,584884,Gas Sensor,,470,466,ppm,,,,,,,,,,,,,,,
2022-06-06T21:00:03.1841528Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,'-6,0,'-6,,,,,,,,,,,,
2022-06-06T21:00:03.4482367Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,66,,,,,,,,
2022-06-06T21:00:04.0522233Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,28,10,23,,,,26,24,,3,,22
2022-06-06T21:00:04.2495563Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,52,22,,,23,,24,
2022-06-06T21:00:04.3916809Z,1001,280113,179,584884,Gas Sensor,,618,863,ppm,,,,,,,,,,,,,,,
2022-06-06T21:00:04.4688974Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,0,5,'-6,,,,,,,,,,,,
2022-06-06T21:00:04.7030702Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,86,,,,,,,,
2022-06-06T21:00:05.3502214Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,39,28,22,,,,44,23,,19,,26
2022-06-06T21:00:05.5230072Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,38,66,,,21,,30,
2022-06-06T21:00:05.6792752Z,1001,280113,179,584884,Gas Sensor,,900,489,ppm,,,,,,,,,,,,,,,
2022-06-06T21:00:05.7574792Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,'-2,3,1,,,,,,,,,,,,
2022-06-06T21:00:05.9856179Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,74,,,,,,,,
2022-06-06T21:00:06.6082744Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,35,31,23,,,,41,17,,20,,26
2022-06-06T21:00:06.7787367Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,59,59,,,28,,21,
2022-06-06T21:00:06.9785201Z,1001,280113,179,584884,Gas Sensor,,604,977,ppm,,,,,,,,,,,,,,,
2022-06-06T21:00:07.0413680Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,5,'-6,'-5,,,,,,,,,,,,
2022-06-06T21:00:07.2540472Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,74,,,,,,,,
2022-06-06T21:00:07.8780145Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,32,33,21,,,,46,19,,27,,27
2022-06-06T21:00:08.0591250Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,35,33,,,61,,32,
2022-06-06T21:00:08.2730007Z,1001,280113,179,584884,Gas Sensor,,625,889,ppm,,,,,,,,,,,,,,,
2022-06-06T21:00:08.3350907Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,'-6,1,'-1,,,,,,,,,,,,
2022-06-06T21:00:08.5374508Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,68,,,,,,,,
2022-06-06T21:00:09.1500026Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,22,20,24,,,,29,24,,0,,26
2022-06-06T21:00:09.3186059Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,53,32,,,34,,48,
2022-06-06T21:00:09.5943503Z,1001,280113,179,584884,Gas Sensor,,758,543,ppm,,,,,,,,,,,,,,,
2022-06-06T21:00:09.6245052Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,'-8,4,'-2,,,,,,,,,,,,
2022-06-06T21:00:09.8235475Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,16,,,,,,,,
2022-06-06T21:00:10.4149318Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,39,24,21,,,,22,16,,29,,24
2022-06-06T21:00:10.5822659Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,43,24,,,40,,40,
2022-06-06T21:00:10.8761198Z,1001,280113,179,584884,Gas Sensor,,987,965,ppm,,,,,,,,,,,,,,,
2022-06-06T21:00:11.0156593Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,0,'-5,5,,,,,,,,,,,,
2022-06-06T21:00:11.0930964Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,0,,,,,,,,
2022-06-06T21:00:11.6792393Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,32,17,22,,,,33,14,,17,,22
2022-06-06T21:00:11.8491989Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,40,31,,,46,,41,
2022-06-06T21:00:12.2972439Z,1001,280113,179,584884,Gas Sensor,,512,950,ppm,,,,,,,,,,,,,,,
2022-06-06T21:00:12.2972958Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,'-7,4,'-3,,,,,,,,,,,,
2022-06-06T21:00:12.3749697Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,36,,,,,,,,
2022-06-06T21:00:12.9480179Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,31,20,22,,,,41,21,,10,,23
2022-06-06T21:00:13.1171718Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,54,64,,,50,,27,
2022-06-06T21:00:13.5930382Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,7,3,'-1,,,,,,,,,,,,
2022-06-06T21:00:13.5930544Z,1001,280113,179,584884,Gas Sensor,,560,590,ppm,,,,,,,,,,,,,,,
2022-06-06T21:00:13.6540362Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,15,,,,,,,,
2022-06-06T21:00:14.2159956Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,26,17,21,,,,22,22,,10,,23
2022-06-06T21:00:14.4144986Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,32,53,,,54,,20,
2022-06-06T21:00:14.8645653Z,1001,280113,179,584884,Gas Sensor,,899,459,ppm,,,,,,,,,,,,,,,
2022-06-06T21:00:14.8964894Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,'-3,'-8,'-1,,,,,,,,,,,,
2022-06-06T21:00:14.9284562Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,78,,,,,,,,
2022-06-06T21:00:15.4824138Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,30,27,23,,,,21,22,,28,,23
2022-06-06T21:00:15.6824999Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,47,49,,,28,,28,
2022-06-06T21:00:16.1545083Z,1001,280113,179,584884,Gas Sensor,,713,757,ppm,,,,,,,,,,,,,,,
2022-06-06T21:00:16.1995075Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,'-4,4,0,,,,,,,,,,,,
2022-06-06T21:00:16.1996178Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,1,,,,,,,,
2022-06-06T21:00:16.7523041Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,32,18,23,,,,29,21,,0,,25
2022-06-06T21:00:16.9873722Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,47,52,,,28,,31,
2022-06-06T21:00:17.4504833Z,1001,280113,179,584884,Gas Sensor,,715,723,ppm,,,,,,,,,,,,,,,
2022-06-06T21:00:17.4655310Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,65,,,,,,,,
2022-06-06T21:00:17.4806947Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,2,7,'-3,,,,,,,,,,,,
2022-06-06T21:00:18.0208430Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,28,36,21,,,,47,24,,10,,27
2022-06-06T21:00:18.2663013Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,51,53,,,28,,23,
2022-06-06T21:00:18.7238513Z,1001,280113,179,584884,Gas Sensor,,659,890,ppm,,,,,,,,,,,,,,,
2022-06-06T21:00:18.7391963Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,73,,,,,,,,
2022-06-06T21:00:18.7688640Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,'-7,'-3,0,,,,,,,,,,,,
2022-06-06T21:00:19.2939211Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,32,21,23,,,,35,18,,4,,23
2022-06-06T21:00:19.5689164Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,33,49,,,55,,40,
2022-06-06T21:00:20.0208935Z,1001,280113,179,584884,Gas Sensor,,944,844,ppm,,,,,,,,,,,,,,,
2022-06-06T21:00:20.0209009Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,39,,,,,,,,
2022-06-06T21:00:20.0529835Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,4,'-3,3,,,,,,,,,,,,
2022-06-06T21:00:20.5600138Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,20,15,23,,,,23,19,,19,,25
2022-06-06T21:00:20.8369033Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,59,55,,,43,,39,
2022-06-06T21:00:21.2949880Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,28,,,,,,,,
2022-06-06T21:00:21.3109888Z,1001,280113,179,584884,Gas Sensor,,445,674,ppm,,,,,,,,,,,,,,,
2022-06-06T21:00:21.3579071Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,'-4,'-8,2,,,,,,,,,,,,
2022-06-06T21:00:21.8309537Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,28,36,23,,,,43,11,,13,,22
2022-06-06T21:00:22.1116549Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,53,55,,,37,,26,
2022-06-06T21:00:22.5716440Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,42,,,,,,,,
2022-06-06T21:00:22.6036765Z,1001,280113,179,584884,Gas Sensor,,652,492,ppm,,,,,,,,,,,,,,,
2022-06-06T21:00:22.6637813Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,'-7,6,2,,,,,,,,,,,,
2022-06-06T21:00:23.0951690Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,27,33,21,,,,41,24,,0,,24
2022-06-06T21:00:23.3868043Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,37,68,,,29,,40,
2022-06-06T21:00:23.8441009Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,34,,,,,,,,
2022-06-06T21:00:23.8917934Z,1001,280113,179,584884,Gas Sensor,,997,448,ppm,,,,,,,,,,,,,,,
2022-06-06T21:00:23.9546938Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,'-4,5,'-3,,,,,,,,,,,,
2022-06-06T21:00:24.3744637Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,23,35,20,,,,28,23,,24,,23
2022-06-06T21:00:24.6736878Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,34,32,,,46,,28,
2022-06-06T21:00:25.1034858Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,26,,,,,,,,
2022-06-06T21:00:25.2112518Z,1001,280113,179,584884,Gas Sensor,,754,450,ppm,,,,,,,,,,,,,,,
2022-06-06T21:00:25.2432756Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,'-6,6,'-2,,,,,,,,,,,,
2022-06-06T21:00:25.6382630Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,30,38,24,,,,21,23,,8,,22
2022-06-06T21:00:25.9463707Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,50,36,,,33,,20,
2022-06-06T21:00:26.3782239Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,25,,,,,,,,
2022-06-06T21:00:26.5042580Z,1001,280113,179,584884,Gas Sensor,,821,466,ppm,,,,,,,,,,,,,,,
2022-06-06T21:00:26.5362324Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,'-8,'-7,3,,,,,,,,,,,,
2022-06-06T21:00:26.8985941Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,23,12,21,,,,45,18,,3,,27
2022-06-06T21:00:27.2202264Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,52,37,,,67,,38,
2022-06-06T21:00:27.6472318Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,19,,,,,,,,
2022-06-06T21:00:27.8012976Z,1001,280113,179,584884,Gas Sensor,,859,957,ppm,,,,,,,,,,,,,,,
2022-06-06T21:00:27.8162167Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,4,1,'-5,,,,,,,,,,,,
2022-06-06T21:00:28.1704577Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,22,31,24,,,,48,10,,26,,25
2022-06-06T21:00:28.4812785Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,55,25,,,54,,27,
2022-06-06T21:00:28.9152497Z,1001,280113,179,956232,Occupancy Sensor,,,,no,,,,,,,37,,,,,,,,
2022-06-06T21:00:29.1013600Z,1001,280113,179,584884,Gas Sensor,,954,951,ppm,,,,,,,,,,,,,,,
2022-06-06T21:00:29.1177098Z,1001,280113,179,634276,Accelerometer Sensor,,,,mm/s^2,0,'-7,2,,,,,,,,,,,,
2022-06-06T21:00:29.4294139Z,1001,280113,179,732482,Temperature Sensor,,,,°C,,,,36,20,20,,,,44,13,,17,,23
2022-06-06T21:00:29.7552290Z,1001,280113,179,823748,Humidity Sensor,,,,%,,,,,,,,30,20,,,26,,39,
